Name,Album,Artists
Past Lives,Past Lives,sapientdream / Slushii
R.I.C.O. (feat. Drake),Dreams Worth More Than Money,Meek Mill / Drake
LVL UP,LVL UP,Jay Scøtt
Fleur Blanche,Cutworks,Örsten
Loved Ones,Loved Ones,BluntOne
Flowers,Vibes 3,The Deli
These Words Are Everything,Rap Album Two,Jonwayne
Daylight,Daylight,David Kushner
Afraid of Us,Rap Album Two,Jonwayne / Zeroh
Money,Twister,LEISURE
Diaspo en diapo,SAPONIFICATION,Waahli
Como Pancho Villa,Como Pancho Villa,Chino Pacas
Love Will Find a Way,Pharoah,Pharoah Sanders
Harvest Time,Pharoah,Pharoah Sanders
"Bruxelles, ma belle..",Mellow,YellowStraps x Le Motel
It's A Vibe,Pretty Girls Like Trap Music,2 Chainz / Ty Dolla $ign / Trey Songz / Jhené Aiko
Lil Boo Thang,Lil Boo Thang,Paul Russell
Dumb Ways to Die,Dumb Ways to Die,Tangerine Kitty
Kaät,Roseaux II,Roseaux / Blick Bassy
trust exercises,trust exercises,hard life
nightmares,life's a beach,hard life
pockets,pockets,hard life
Pompette,Pompette,Suff Daddy
Before,Ribbons,Bibio
Make This Magic,Vol.1 '14-'18,Godriguez
Cotton Candy Grapes,Cotton Candy Grapes,Burrito Brown / Ian Ewing
Little Bit,Little Bit,FRANZ
Dive In,Cool Company,Cool Company
Heart Ache,Heart Ache,GurtyBeats
Hotwire,The Narrows,Brock Berrigan
Don't Forget It,Don't Forget It,Dabeull / Jordan Lee
You're so Fine,You're so Fine,Papa Bear & His Cubs
Last One Standing,It's Only Us,Monophonics / Kelly Finnigan
Inferno,Velvet,JMSN
Sail,Megalithic Symphony,AWOLNATION
My God Has A Telephone,My God Has a Telephone,The Flying Stars Of Brooklyn NY / Aaron Frazer
Funktionality,Dr Hypenstein,Redtenbacher's Funkestra
Too Hot In L.A. - Vulfmix,Too Hot In L.A. (Vulfmix),Vulfmon / Woody and Jeremy
Beat 100,Beat Tape II,Benny Sings / Marc Rebillet / Mocky / Cola Boyy
Message in a Bottle (feat. Coultrain),The Loop,Shafiq Husayn / Coultrain
Trip 2,Acid R&B Vol. 1,Heavy Mellow
Patagonia,Patagonia,Patawawa
Pink Yesterday,Pink Yesterday,Too Many Zooz
The Heal Toe Bounce,The Heal Toe Bounce,Sleep Sound
Finger Guns,Finger Guns,Funkmammoth
And I Love Her,Presenting Santo & Johnny,Santo & Johnny
Люди,Человеко-часы,Дайте танк (!)
i should probably get moving,together,boxboys
Them Changes,Drunk,Thundercat
Breaking the Dream (Lucid Dream Edit),Breaking the Dream,Virtual Mage
This Will Be (An Everlasting Love) - 2003 Remaster,Natalie Cole Anthology,Natalie Cole
The Roux,The Roux,The Main Squeeze
That Groove,That Groove,Westpark
Soul Safety Administration,Where Are My Friends,Abhi The Nomad / Foster Cazz / Feugzy McGaegazy
Esperanza,Alone Together,Karriem Riggins
Echo Park,Echo Park,Dontcry / Nokiaa / Aylior
Oh Star... (Interlude),This Is Embracing,Dimlite
House Of Spirits,House Of Spirits,Ganzo
Shine,Abhi vs The Universe (Deluxe),Abhi The Nomad / smle
Vilageee,Thinking of Kutaisi,Gesmis
Nice Things,Green Balloon,Tank and The Bangas
Idle Hands,Harlem River Drive,Harlem River Drive
Third Degree,Mystery Repeats,Pete Philly & Perquisite / Pete Philly / Perquisite
Du-Vibrations,Du-Vibrations,The Du-Rites
Built To Roam,Roll The Bones X,Shakey Graves
Love$ick (feat. A$AP Rocky),Mura Masa,Mura Masa / A$AP Rocky
Serious Mood,Serious Mood,Point Point / Pyramid
space.,fragments.,walk.
Sympathy,Oppression,Minthaze / Lester A. / Nowhere
Notre-Dame Est,Métropole Part II,Anomalie
Girls In Pearls,S.Maharba,S.Maharba
Impro,"The Jazz Hop Conspiracy, Vol. 1",Julian Convex
Evermore,Vermilion,Dirty Art Club
Hydroplane,SEA (Deluxe),Coastal
Jericho,Jericho,Iniko
Pick Up the Pieces,AWB,Average White Band
Lesson Learnt,Still Life - EP,Aaron Taylor
Disco Ulysses (Instrumental),Hill Climber,Vulfpeck
What Do I Have To Do To Prove My Love To You - Single Version,The Best Of James Brown 20th Century The Millennium Collection Vol. 3,Marva Whitney
Monkey Jump,Shotgun,Jr. Walker & The All Stars
T.I.B.W.F.,The Budos Band,The Budos Band
Shotgun,Shotgun,Jr. Walker & The All Stars
Spill the Wine,Anthology 1970-1974,War
The Cisco Kid,Greatest Hits,War
Low Rider,Why Can't We Be Friends?,War
Marijuana,Sparks,Chrome Sparks
Fairies,Threads,imagiro
The Traitor,Make the Road By Walking,Menahan Street Band
sweet spot,departure,Sweeps
No Rush,No Rush,Del Playa
Hey Ye Ye Yeah,Hey Ye Ye Yeah,Bear Garden
Central Park La Fontaine,Central Park La Fontaine,Les Louanges
Memories And Melodies,Uncommon Good,Busty and the Bass
Allah and Justice - Remastered,In God We Trust (30th Anniversary),Brand Nubian
Comets,Comets,Gabe 'Nandez
Test Drive (Instrumental),"The Joy of Music, The Job of Real Estate",Vulfpeck
El Camino Del Caballo,Canoga Madness,Mestizo Beat
Jimmy's Groove,Jimmy's Groove,Delvon Lamarr Organ Trio
Photosynthesis,Bucket List Project,Saba / Jean Deaux
Swimming Pools (Drank),Swimming Pools (Drank),Kendrick Lamar
